Year,Age,Gender,Deaths
2563,90,1,4637
2563,91,0,2446
2563,91,1,4098
2563,92,0,2127
2563,92,1,3731
2563,93,0,1565
2563,93,1,2692
2563,94,0,1318
2563,94,1,2432
2563,95,0,964
2563,95,1,1838
2563,96,0,734
2563,96,1,1491
2563,97,0,572
2563,97,1,1185
2563,98,0,413
2563,98,1,899
2563,99,0,282
2563,99,1,623
2563,100,0,187
2563,100,1,427
2563,101,0,373
2563,101,1,977
2564,0,0,1809
2564,0,1,1397
2564,1,0,183
2564,1,1,160
2564,2,0,179
2564,2,1,106
2564,3,0,149
2564,3,1,79
2564,4,0,116
2564,4,1,80
2564,5,0,132
2564,5,1,82
2564,6,0,118
2564,6,1,81
2564,7,0,113
2564,7,1,67
2564,8,0,133
2564,8,1,86
2564,9,0,111
2564,9,1,75
2564,10,0,102
2564,10,1,60
2564,11,0,115
2564,11,1,98
2564,12,0,168
2564,12,1,105
2564,13,0,217
2564,13,1,110
2564,14,0,342
2564,14,1,117
2564,15,0,401
2564,15,1,166
2564,16,0,471
2564,16,1,169
2564,17,0,540
2564,17,1,157
2564,18,0,534
2564,18,1,190
2564,19,0,549
2564,19,1,198
2564,20,0,617
2564,20,1,228
2564,21,0,621
2564,21,1,218
2564,22,0,713
2564,22,1,226
2564,23,0,849
2564,23,1,272
2564,24,0,915
2564,24,1,310
2564,25,0,1010
2564,25,1,316
2564,26,0,1002
2564,26,1,285
2564,27,0,1007
2564,27,1,348
2564,28,0,1103
2564,28,1,385
2564,29,0,1152
2564,29,1,377
2564,30,0,1293
2564,30,1,424
2564,31,0,1226
2564,31,1,399
2564,32,0,1289
2564,32,1,426
2564,33,0,1384
2564,33,1,442
2564,34,0,1447
2564,34,1,497
2564,35,0,1598
2564,35,1,581
2564,36,0,1749
2564,36,1,636
2564,37,0,1937
2564,37,1,694
2564,38,0,2106
2564,38,1,763
2564,39,0,2244
2564,39,1,847
2564,40,0,2532
2564,40,1,868
2564,41,0,2649
2564,41,1,999
2564,42,0,2906
2564,42,1,1059
2564,43,0,3056
2564,43,1,1177
2564,44,0,3482
2564,44,1,1278
2564,45,0,3552
2564,45,1,1374
2564,46,0,3854
2564,46,1,1457
2564,47,0,3888
2564,47,1,1601
2564,48,0,4029
2564,48,1,1657
2564,49,0,4346
2564,49,1,1877
2564,50,0,4621
2564,50,1,2087
2564,51,0,4559
2564,51,1,2106
2564,52,0,4995
2564,52,1,2362
2564,53,0,5269
2564,53,1,2487
2564,54,0,5073
2564,54,1,2545
2564,55,0,5469
2564,55,1,2769
2564,56,0,5876
2564,56,1,2973
2564,57,0,5968
2564,57,1,3028
2564,58,0,5888
2564,58,1,3032
2564,59,0,6092
2564,59,1,3273
2564,60,0,6111
2564,60,1,3442
2564,61,0,6702
2564,61,1,3719
2564,62,0,6460
2564,62,1,3718
2564,63,0,6346
2564,63,1,3774
2564,64,0,6479
2564,64,1,3894
2564,65,0,6520
2564,65,1,4170
2564,66,0,6781
2564,66,1,4429
2564,67,0,6584
2564,67,1,4521
2564,68,0,6784
2564,68,1,4893
2564,69,0,6978
2564,69,1,4907
2564,70,0,6850
2564,70,1,5083
2564,71,0,7258
2564,71,1,5467
2564,72,0,6939
2564,72,1,5396
2564,73,0,6613
2564,73,1,5205
2564,74,0,6576
2564,74,1,5368
2564,75,0,6152
2564,75,1,5216
2564,76,0,6156
2564,76,1,5263
2564,77,0,6332
2564,77,1,5557
2564,78,0,6011
2564,78,1,5798
2564,79,0,6585
2564,79,1,6405
2564,80,0,6203
2564,80,1,6359
2564,81,0,6098
2564,81,1,6547
2564,82,0,6281
2564,82,1,6865
2564,83,0,6073
2564,83,1,7034
2564,84,0,5700
2564,84,1,6941
2564,85,0,5450
2564,85,1,7133
2564,86,0,4938
2564,86,1,6531
2564,87,0,4773
2564,87,1,6794
2564,88,0,4230
2564,88,1,6132
2564,89,0,3869
2564,89,1,5805
2564,90,0,3185
2564,90,1,4981
2564,91,0,2842
2564,91,1,4710
2564,92,0,2289
2564,92,1,3931
2564,93,0,2044
2564,93,1,3606
2564,94,0,1444
2564,94,1,2752
2564,95,0,1170
2564,95,1,2260
2564,96,0,769
2564,96,1,1644
2564,97,0,613
2564,97,1,1243
2564,98,0,439
2564,98,1,1018
2564,99,0,308
2564,99,1,766
2564,100,0,222
2564,100,1,547
2564,101,0,417
2564,101,1,1138
2565,0,0,1801
2565,0,1,1356
2565,1,0,219
2565,1,1,199
2565,2,0,177
2565,2,1,126
2565,3,0,178
2565,3,1,93
2565,4,0,130
2565,4,1,93
2565,5,0,130
2565,5,1,93
2565,6,0,138
2565,6,1,89
2565,7,0,128
2565,7,1,82
2565,8,0,129
2565,8,1,90
2565,9,0,122
2565,9,1,89
2565,10,0,125
2565,10,1,94
2565,11,0,133
2565,11,1,93
2565,12,0,202
2565,12,1,108
2565,13,0,287
2565,13,1,137
2565,14,0,338
2565,14,1,151
2565,15,0,430
2565,15,1,179
2565,16,0,483
2565,16,1,202
2565,17,0,492
2565,17,1,210
2565,18,0,535
2565,18,1,184
2565,19,0,572
